IDFR;DT_REF;IN_EVS;EST_CVL;CLS_GNR;RGAO_GEO;SGM_CLI;VL_SLR_MSL;QT_PRD_COM_BB;TMP_RLC_COM_BB;CTGR_MC_EPGR;RAMO_MC_EPGR;NM_CTRA;VL_CST_SVR;FXA_IDD;QT_RCLM_CLI;PRI_ATDT_CLI
11155;2023-10-01;1.0;SOLTEIRO;M;SUL;3.0;1650.0;4.0;0.0;VAREJO;INDUSTRIA;NEGOCIAL;5.72;30-39;;0.0
11288;2023-11-01;0.0;SOLTEIRO;M;SUDESTE;2.0;4690.0;7.0;2.0;VAREJO;SERVICOS;NEGOCIAL;21.83;50-59;;0.0
10570;2023-12-01;0.0;SOLTEIRO;F;SUL;4.0;3140.0;5.0;4.0;VAREJO;COMERCIO;NEGOCIAL;58.38;20-29;9.0;1.0
6891;2023-10-01;0.0;SOLTEIRO;M;NORTE;3.0;580.0;6.0;3.0;ATACADO;INDUSTRIA;PERSONALIZADO;9.0;20-29;;0.0
9486;2023-12-01;1.0;SOLTEIRO;M;SUDESTE;3.0;3110.0;13.0;1.0;VAREJO;INDUSTRIA;PRIVATE;169.57;20-29;;0.0
4410;2023-10-01;0.0;SOLTEIRO;F;SUL;4.0;1560.0;4.0;11.0;ATACADO;INDUSTRIA;NEGOCIAL;7.86;40-49;0.0;0.0
2589;2023-12-01;0.0;SOLTEIRO;M;CENTRO-OESTE;4.0;1780.0;4.0;0.0;ATACADO;SERVICOS;NEGOCIAL;100.24;20-29;1.0;0.0
10433;2023-10-01;0.0;SOLTEIRO;M;NORDESTE;2.0;2340.0;27.0;17.0;ATACADO;INDUSTRIA;NEGOCIAL;99.49;30-39;;0.0
6034;2023-11-01;;;;;;;;;;;OUTROS;;;;
9131;2023-10-01;0.0;SOLTEIRO;F;CENTRO-OESTE;4.0;1470.0;3.0;5.0;ATACADO;COMERCIO;NEGOCIAL;6.96;20-29;;0.0
